,id,id_download_nonleak,sentinel_img_date_nonleak,landsat_img_date_nonleak,date_diff_img_nonleak,date_diff_leak_nonleak,sentinel_cloud_nonleak,landsat_cloud_nonleak,rmse_nonleak
0,21129.0,21129.0,2020-02-04,2020-02-06,2 days,28 days,70.303065,0.16,262.0703461137114
1,20960.0,20960.0,2020-02-04,2020-02-06,2 days,22 days,70.303065,0.16,201.75114853034592
2,21270.0,21270.0,2020-02-04,2020-02-06,2 days,20 days,70.303065,0.16,312.1681323961243
3,20574.0,20574.0,2020-02-04,2020-02-06,2 days,29 days,70.303065,0.16,251.31099960797502
4,20723.0,20723.0,2020-02-04,2020-02-06,2 days,18 days,70.303065,0.16,269.2655818882932
5,21258.0,21258.0,2020-02-04,2020-02-06,2 days,19 days,70.303065,0.16,207.51654168100816
6,20828.0,20828.0,2020-02-04,2020-02-06,2 days,18 days,70.303065,0.16,415.53861034637663
7,21174.0,21174.0,2020-02-04,2020-02-06,2 days,15 days,70.303065,0.16,252.43140605395413
8,21213.0,21213.0,2020-02-04,2020-02-06,2 days,15 days,70.303065,0.16,193.18826183397084
9,20654.0,20654.0,2020-02-04,2020-02-06,2 days,14 days,70.303065,0.16,262.6165392981484
10,21728.0,21728.0,2020-02-04,2020-02-06,2 days,14 days,70.303065,0.16,205.56336209156365
11,21519.0,21519.0,2020-02-04,2020-02-06,2 days,11 days,70.303065,0.16,267.5675489176081
12,20445.0,20445.0,2020-02-27,2020-03-02,4 days,30 days,0.070912,0.02,336.0422476288076
13,21442.0,21442.0,2020-02-27,2020-03-02,4 days,30 days,0.070912,0.02,421.13676470380534
14,21551.0,21551.0,2020-02-27,2020-03-02,4 days,29 days,0.070912,0.02,320.0661646061748
15,21723.0,21723.0,2020-02-27,2020-03-02,4 days,28 days,0.070912,0.02,287.1851381012524
16,21918.0,21918.0,2020-02-27,2020-03-02,4 days,23 days,0.070912,0.02,234.54976523087723
17,21968.0,21968.0,2020-02-27,2020-03-02,4 days,21 days,0.070912,0.02,375.393089671396
18,21960.0,21960.0,2020-02-27,2020-03-02,4 days,27 days,0.070912,0.02,234.54976523087723
19,21480.0,21480.0,2020-02-27,2020-03-02,4 days,23 days,0.070912,0.02,269.9092632308014
20,21479.0,21479.0,2020-02-27,2020-03-02,4 days,23 days,0.070912,0.02,405.0606277835419
21,21535.0,21535.0,2020-02-27,2020-03-02,4 days,22 days,0.070912,0.02,253.90072823156396
