,Unnamed: 0,id,fecha_de_i,fecha_fina,fechaasign,fechalegal,nombreunid,codestado,codtrabajo,actividad,barrio,com1,com2,causal,orden,solicitud,cliente,producto,consecruta,codruta,x,y,id_download,sentinel_img_date,landsat_img_date,date_diff_img,date_diff_leak,sentinel_cloud,landsat_cloud,rmse
0,0,21129.0,2019-12-20,2019-12-20,2020-01-07,2020-01-07,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,OJOCALIENTE FRACC.,,SE REPARO FUGA EN TUBERIA            CENTRAL    ARROYO      2.10X1.00,"SE REPARA FTC, GENERA BA",13371532.0,,116511.0,116511.0,140.0,SECTOR 05/BLOQUE 08 - RUTA 514605,783830.23541,2422685.05054,21129.0,2019-12-09,2019-12-13,4 days,-29 days,0.150207,0.09,273.9897844820611
1,1,20960.0,2019-12-30,2019-12-30,2020-01-13,2020-01-13,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,JARD. DE LA CRUZ FRACC.,,SE REPARARO FUGA EN TUBERUIA CENTRAL       ARROY   1.00.X80,"SE REPARA FTC, GENERA BA",13506791.0,4655204.0,86951.0,9704.0,0.0,SECTOR 05/BLOQUE 05 - RUTA 512300,781540.394923,2421735.38031,20960.0,2020-01-03,2020-01-05,2 days,-10 days,0.055907,1.89,209.88939043474423
2,2,21270.0,2020-01-03,2020-01-03,2020-01-15,2020-01-15,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,SAN PEDRO CIENEGUILLA,SE REPORTA FUGA EN LA BANQUETA EN REPUBLICA MEXICANA 425,SE REPARO FTC;  ARROYO   1.40X.80X1.30X.16,"SE REPARA FTC, GENERA BA",13571361.0,,242891.0,242891.0,88.0,SECTOR AR/BLOQUE 03 - RUTA R50500,767561.279127,2403804.33888,21270.0,2020-01-03,2020-01-05,2 days,-12 days,0.055907,1.89,284.3797399233511
3,3,20574.0,2020-01-06,2020-01-06,2020-01-06,2020-01-06,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,EMILIANO ZAPATA FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL       ARROY   1.20X.80,"SE REPARA FTC, GENERA BA",13360204.0,,72167.0,72167.0,176.0,SECTOR 10/BLOQUE 05 - RUTA MO0035,783703.24935,2418975.94268,20574.0,2019-12-09,2019-12-13,4 days,-28 days,0.150207,0.09,271.6885312302537
4,4,20723.0,2020-01-07,2020-01-07,2020-01-17,2020-01-17,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,OJOCALIENTE FRACC.,,SE REPARO FTC; ARROYO  2.00X1.10X1.10X.20,"SE REPARA FTC, GENERA BA",13660419.0,,135158.0,135158.0,228.0,SECTOR 05/BLOQUE 08 - RUTA 514609,783816.829545,2422573.19777,20723.0,2020-01-03,2020-01-05,2 days,-14 days,0.055907,1.89,276.55134201910573
5,5,21258.0,2020-01-07,2020-01-07,2020-01-06,2020-01-16,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,LOMAS DE SANTA ANITA FRACC.,5 DIAS...AFUERA ESTA,SE REPARO FTC; ARROYO    1.30X1.00X1.00X.15,"SE REPARA FTC, GENERA BA",13345162.0,,54723.0,54723.0,2.0,SECTOR 05/BLOQUE 04 - RUTA 514206,782204.213251,2423420.73018,21258.0,2020-01-03,2020-01-05,2 days,-13 days,0.055907,1.89,224.58139283266854
6,6,20828.0,2020-01-08,2020-01-08,2020-01-17,2020-01-17,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,PILAR BLANCO FRACC.,SE REPORTA FUGA EN BANQUETA EN CALLE Mahatma Gandhi ESQ CON ANDADOR DE LA LECHUZA,SE REPARO FUGA EN TUBERIA CENTRAL       INTERIOR     1.20X.90,"SE REPARA FTC, GENERA BA",13672835.0,,267470.0,267470.0,82.0,SECTOR 09/BLOQUE 04 - RUTA 914813,779642.568183,2418752.44837,20828.0,2020-01-03,2020-01-05,2 days,-14 days,0.055907,1.89,393.97086586678466
7,7,21174.0,2020-01-08,2020-01-08,2020-01-20,2020-01-20,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,DE LA PURISIMA BARRIO,,SE REPARO FUGA EN TUBERIA CENTRAL    2.00X1.00     ASFALTO,"SE REPARA FTC, GENERA BA",13701085.0,,95525.0,95525.0,93.0,SECTOR 01/BLOQUE 01 - RUTA 100201,780775.585956,2422474.3154,21174.0,2020-01-03,2020-01-05,2 days,-17 days,0.055907,1.89,230.51283297202676
8,8,21213.0,2020-01-08,2020-01-08,2020-01-20,2020-01-20,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,SAN LUIS COL.,,SE REPARO FUGA EN TUBERIA CENTRAAL        ARROYO    1.10X.90,"SE REPARA FTC, GENERA BA",13701356.0,,146621.0,146621.0,173.0,SECTOR 02/BLOQUE 01 - RUTA 202001,781301.811926,2421570.66613,21213.0,2020-01-03,2020-01-05,2 days,-17 days,0.055907,1.89,194.26498053483655
9,9,20654.0,2020-01-09,2020-01-21,2020-01-09,2020-01-21,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,JARD. DE LA CONVENCION FRACC.,SE REPORTA QUE VAYAN A REPARAR UNA FUGA DE AGUA EN LA CALLE PAULINO MARTINEZ 119    MZ-1 LT-22 COL. JARD. DE LA CONVENCION FRACC. Y SOBRE LA MISMA CALLE QUE VAYAN A TAPAR UN BACHE,SE REPARO FUGA EN TOMA,"SE REPARA FTC, GENERA BA",13448539.0,,139505.0,139505.0,22.0,SECTOR 05/BLOQUE 05 - RUTA 517900,781450.023225,2420610.96509,20654.0,2020-01-03,2020-01-05,2 days,-18 days,0.055907,1.89,240.32726890493794
10,10,21728.0,2020-01-10,2020-01-10,2020-01-21,2020-01-21,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,LOS BOSQUES FRACC.,,SE REPARO FUGA EN TUBERUIA CENTRAL       ARROYO      1.50X1.30,"SE REPARA FTC, GENERA BA",13728890.0,,66909.0,66909.0,81.0,SECTOR 08/BLOQUE 01 - RUTA 813403,777660.197686,2426614.00677,21728.0,2020-01-03,2020-01-05,2 days,-18 days,0.055907,1.89,196.36478141060425
11,11,21519.0,2020-01-13,2020-01-13,2020-01-24,2020-01-24,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,JARD. DE LA CONVENCION FRACC.,,SE REPARO FTC; ARROYO     2.50X.80X1.20X.17,"SE REPARA FTC, GENERA BA",13789151.0,,233546.0,233546.0,165.0,SECTOR 05/BLOQUE 05 - RUTA 517900,781608.253232,2420702.6313,21519.0,2020-01-03,2020-01-05,2 days,-21 days,0.055907,1.89,240.3959491310313
12,12,20445.0,2020-01-17,2020-01-17,2020-01-16,2020-01-28,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VILLA LAS PALMAS III FRACC.,USUARIO REPOTRTA FUGA NE ARROLLO VEICULAR  DEJO NUM DE USU :4493531201,SE REPARO FTC; ARROYO    1.20X.90X.90X.15,"SE REPARA FTC, GENERA BA",13617175.0,,327353.0,327353.0,113.0,SECTOR 11/BLOQUE 02 - RUTA 110106,785784.425,2419170.98,20445.0,2020-01-03,2020-01-05,2 days,-25 days,0.055907,1.89,277.0078161309947
13,13,21442.0,2020-01-18,2020-01-18,2020-01-28,2020-01-28,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,NORIAS DE P.HONDO,,SE REPARO FUGA EN TUBERIA CENTRAL    ARROYO    1.00X1.00,"SE REPARA FTC, GENERA BA",13854749.0,,188248.0,188248.0,47.0,SECTOR AR/BLOQUE 01 - RUTA R70301,788436.788406,2420030.18049,21442.0,2020-01-03,2020-01-05,2 days,-25 days,0.055907,1.89,345.02811785838463
