Id,FECHA DE CREACIÓN,FECHA DE INICIO,FECHA FINAL,CODUNIDAD,FECHALEGALIZACION,NOMBREESTADO,NOMBRETRABAJO,CAUSAL,X,Y
1,14/10/2021,24/11/2022,07/12/2022,757,07/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,781021.8881,2428226.907
2,28/09/2021,24/11/2022,07/12/2022,757,07/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778394.8903,2426703.111
3,30/03/2022,24/11/2022,26/11/2022,757,22/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,786182.935,2421649.91
4,24/04/2022,25/11/2022,26/11/2022,757,22/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,780261.7398,2421570.892
5,07/06/2022,25/11/2022,26/11/2022,757,22/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,781486.1843,2430544.975
6,08/09/2022,24/11/2022,25/11/2022,757,22/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778419.8907,2425593.516
9,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,782373.6054,2419726.049
10,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,784966.0173,2421148.29
11,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,779303.0143,2427790.511
12,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778358.7423,2428169.116
14,01/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,780530.0047,2426970.335
15,01/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,785013.8548,2425015.237
16,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,782102.6367,2418962.439
17,02/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,784422.8458,2421440.98
18,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,781950.6864,2419374.45
19,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,782160.6513,2419290.064
21,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778358.7423,2428169.116
22,03/11/2022,12/12/2022,13/12/2022,757,13/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,782408.8285,2423412.488
24,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,779277.634,2419128.003
25,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,777467.4741,2426262.883
26,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,777467.4741,2426262.883
28,08/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,785377.8953,2425681
29,03/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,781014.2254,2420009.539
30,04/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,783970.8885,2423272.692
32,02/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,783614.443,2423982.604
33,02/11/2022,05/12/2022,06/12/2022,757,06/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,785146.4969,2422044.637
34,02/11/2022,12/12/2022,13/12/2022,757,13/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,780315.8263,2428062.102
